Yr,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2022,League Average,82,241.4,40.6,88.1,.461,12.4,35.2,.354,28.2,52.9,.533,16.9,21.9,.775,10.3,34.1,44.5,24.6,7.6,4.7,13.8,19.6,110.6
2021,League Average,72,241.4,41.2,88.4,.466,12.7,34.6,.367,28.5,53.8,.530,17.0,21.8,.778,9.8,34.5,44.3,24.8,7.6,4.9,13.8,19.3,112.1
2020,League Average,71,241.8,40.9,88.8,.460,12.2,34.1,.358,28.7,54.7,.524,17.9,23.1,.773,10.1,34.8,44.8,24.4,7.6,4.9,14.5,20.8,111.8
2019,League Average,82,241.6,41.1,89.2,.461,11.4,32.0,.355,29.7,57.2,.520,17.7,23.1,.766,10.3,34.8,45.2,24.6,7.6,5.0,14.1,20.9,111.2
2018,League Average,82,241.4,39.6,86.1,.460,10.5,29.0,.362,29.1,57.1,.510,16.6,21.7,.767,9.7,33.8,43.5,23.2,7.7,4.8,14.3,19.9,106.3
2017,League Average,82,241.6,39.0,85.4,.457,9.7,27.0,.358,29.4,58.4,.503,17.8,23.1,.772,10.1,33.4,43.5,22.6,7.7,4.7,14.0,19.9,105.6
2016,League Average,82,241.8,38.2,84.6,.452,8.5,24.1,.354,29.7,60.5,.491,17.7,23.4,.757,10.4,33.3,43.8,22.3,7.8,5.0,14.4,20.3,102.7
2015,League Average,82,242.0,37.5,83.6,.449,7.8,22.4,.350,29.7,61.2,.485,17.1,22.8,.750,10.9,32.4,43.3,22.0,7.7,4.8,14.4,20.2,100.0
2014,League Average,82,242.0,37.7,83.0,.454,7.7,21.5,.360,30.0,61.5,.488,17.8,23.6,.756,10.9,31.8,42.7,22.0,7.7,4.7,14.6,20.7,101.0
2013,League Average,82,241.9,37.1,82.0,.453,7.2,20.0,.359,30.0,62.1,.483,16.7,22.2,.753,11.2,31.0,42.1,22.1,7.8,5.1,14.6,19.8,98.1
2012,League Average,66,241.9,36.5,81.4,.448,6.4,18.4,.349,30.1,63.0,.477,16.9,22.5,.752,11.4,30.8,42.2,21.0,7.7,5.1,14.6,19.6,96.3
2011,League Average,82,241.9,37.2,81.2,.459,6.5,18.0,.358,30.8,63.2,.487,18.6,24.4,.763,10.9,30.5,41.4,21.5,7.3,4.9,14.3,20.7,99.6
2010,League Average,82,241.7,37.7,81.7,.461,6.4,18.1,.355,31.3,63.6,.492,18.6,24.5,.759,11.0,30.8,41.7,21.2,7.2,4.9,14.2,20.9,100.4
