Date,Start (ET),Visitor/Neutral,PTS_Visitor,Home/Neutral,PTS_Home,OT?,Attend.,Arena,Notes,Season
Tue Oct 26 2010,7:30p,Miami Heat,80,Boston Celtics,88,,18624,TD Garden,,2011
Tue Oct 26 2010,10:00p,Phoenix Suns,92,Portland Trail Blazers,106,,20603,Rose Garden Arena,,2011
Tue Oct 26 2010,10:30p,Houston Rockets,110,Los Angeles Lakers,112,,18997,STAPLES Center,,2011
Wed Oct 27 2010,7:00p,Boston Celtics,87,Cleveland Cavaliers,95,,20562,Quicken Loans Arena,,2011
Wed Oct 27 2010,7:00p,New York Knicks,98,Toronto Raptors,93,,18722,Air Canada Centre,,2011
Wed Oct 27 2010,7:00p,Miami Heat,97,Philadelphia 76ers,87,,20389,Wells Fargo Center,,2011
Wed Oct 27 2010,7:00p,Detroit Pistons,98,New Jersey Nets,101,,15178,Prudential Center,,2011
Wed Oct 27 2010,8:00p,Chicago Bulls,95,Oklahoma City Thunder,106,,18203,Chesapeake Energy Arena,,2011
Wed Oct 27 2010,8:00p,Milwaukee Bucks,91,New Orleans Hornets,95,,15039,New Orleans Arena,,2011
Wed Oct 27 2010,8:00p,Sacramento Kings,117,Minnesota Timberwolves,116,,17067,Target Center,,2011
Wed Oct 27 2010,8:00p,Atlanta Hawks,119,Memphis Grizzlies,104,,17519,FedEx Forum,,2011
Wed Oct 27 2010,8:30p,Indiana Pacers,109,San Antonio Spurs,122,,18581,AT&T Center,,2011
Wed Oct 27 2010,8:30p,Charlotte Bobcats,86,Dallas Mavericks,101,,19440,American Airlines Center,,2011
Wed Oct 27 2010,9:00p,Utah Jazz,88,Denver Nuggets,110,,19155,Pepsi Center,,2011
Wed Oct 27 2010,10:30p,Portland Trail Blazers,98,Los Angeles Clippers,88,,18382,STAPLES Center,,2011
Wed Oct 27 2010,10:30p,Houston Rockets,128,Golden State Warriors,132,,18428,Oracle Arena,,2011
Thu Oct 28 2010,8:00p,Washington Wizards,83,Orlando Magic,112,,18918,Amway Center,,2011
Thu Oct 28 2010,10:30p,Phoenix Suns,110,Utah Jazz,94,,19911,EnergySolutions Arena,,2011
Fri Oct 29 2010,7:00p,Indiana Pacers,104,Charlotte Bobcats,101,,18351,Time Warner Cable Arena,,2011
Fri Oct 29 2010,7:00p,Cleveland Cavaliers,81,Toronto Raptors,101,,15711,Air Canada Centre,,2011
Fri Oct 29 2010,7:00p,Atlanta Hawks,104,Philadelphia 76ers,101,,10960,Wells Fargo Center,,2011
Fri Oct 29 2010,7:00p,Sacramento Kings,100,New Jersey Nets,106,,13482,Prudential Center,,2011
